ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
216521_s_at	BRCC3	BRCA1/BRCA2-containing complex subunit 3	-0.384	3.673
216541_x_at	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)	0.79	3.892
216547_at			0.267	3.567
216550_x_at	ANKRD12	ankyrin repeat domain 12	1.356	5.246
216563_at	ANKRD12	ankyrin repeat domain 12	1.733	3.972
216574_s_at	RPEL1///RPE	ribulose-5-phosphate-3-epimerase like 1///ribulose-5-phosphate-3-epimerase	-0.593	3.423
216602_s_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	-0.585	4.616
216605_s_at	CEACAM21	carcinoembryonic antigen related cell adhesion molecule 21	-0.54	3.493
216607_s_at	LRRD1///CYP51A1	leucine rich repeats and death domain containing 1///cytochrome P450 family 51 subfamily A member 1	-1.246	6.21
216631_s_at	HLA-DPA2	major histocompatibility complex, class II, DP alpha 2 (pseudogene)	0.109	2.391
216635_at			0.528	3.274
216640_s_at	PDIA6	protein disulfide isomerase family A member 6	-0.729	6.334
216644_at			0.349	2.854
216682_s_at	SUPT20H	SPT20 homolog, SAGA complex component	-0.497	3.457
216683_at			-0.694	3.792
216684_s_at	SS18	SS18, nBAF chromatin remodeling complex subunit	-0.665	7.077
216689_x_at	ARHGAP1	Rho GTPase activating protein 1	-0.607	2.898
216713_at	KRIT1	KRIT1, ankyrin repeat containing	-0.317	3.402
216721_at	SLC25A30	solute carrier family 25 member 30	0.212	2.534
216755_at	OSBPL10	oxysterol binding protein like 10	0.172	2.831
216768_x_at	TTC38	tetratricopeptide repeat domain 38	0.17	2.476
216782_at			0.626	3.986
216799_at			0.361	2.664
216800_at			0.392	3.302
216804_s_at	PDLIM5	PDZ and LIM domain 5	-0.365	2.391
216806_at			0.237	2.698
216823_at	SNORD73A///RPS3A	small nucleolar RNA, C/D box 73A///ribosomal protein S3A	0.277	4.139
216859_x_at			0.319	2.76
216862_s_at	CMC4	C-X9-C motif containing 4	-0.176	2.286
216881_x_at	PRB4	proline rich protein BstNI subfamily 4	0.12	2.173
216899_s_at	SKAP2	src kinase associated phosphoprotein 2	-0.501	2.597
216934_at			0.225	2.103
216936_at			0.166	2.348
216945_x_at	PASK	PAS domain containing serine/threonine kinase	0.717	3.368
216961_s_at	RPAIN	RPA interacting protein	0.157	2.385
216963_s_at	GAP43	growth associated protein 43	0.163	2.228
216976_s_at	RYK	receptor-like tyrosine kinase	-0.932	8.14
216985_s_at	STX3	syntaxin 3	-0.688	3.062
217027_x_at			0.422	6.047
217028_at	CXCR4	C-X-C motif chemokine receptor 4	0.627	5.376
217052_x_at			0.226	2.434
217088_s_at	NCR1	natural cytotoxicity triggering receptor 1	-0.364	2.172
217094_s_at	ITCH	itchy E3 ubiquitin protein ligase	-0.282	2.646
217095_x_at	NCR1	natural cytotoxicity triggering receptor 1	-0.475	3.25
217097_s_at	PHTF2	putative homeodomain transcription factor 2	-0.855	6.978
217107_at			0.379	5.789
217117_x_at	MUC3B///MUC3A	mucin 3B, cell surface associated///mucin 3A, cell surface associated	0.174	2.606
217118_s_at	KIAA0930	KIAA0930	-0.396	2.645
217119_s_at	CXCR3	C-X-C motif chemokine receptor 3	-0.697	2.49
217140_s_at	VDAC1	voltage dependent anion channel 1	-1.056	9.231
217144_at	UBBP1	ubiquitin B pseudogene 1	0.48	2.731
217149_x_at	TNK1	tyrosine kinase non receptor 1	0.312	3.195
217152_at			-0.687	3.724
217165_x_at	MT1F	metallothionein 1F	-0.525	3.006
217167_x_at	GK	glycerol kinase	-0.678	4.599
217176_s_at	ZFX	zinc finger protein, X-linked	-1.045	6.911
217188_s_at	C14orf1	chromosome 14 open reading frame 1	-0.873	3.633
217191_x_at			-0.135	2.58
217195_at	GCNT1P1	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 1	0.191	2.265
217197_x_at	N4BP2L1	NEDD4 binding protein 2 like 1	-0.689	6.56
217199_s_at	STAT2	signal transducer and activator of transcription 2	-0.42	3.084
217208_s_at	DLG1	discs large MAGUK scaffold protein 1	-0.814	6.941
217211_at	ACTBP9	actin, beta pseudogene 9	-1.13	6.726
217232_x_at	HBB	hemoglobin subunit beta	2.494	10.25
217246_s_at	DIAPH2	diaphanous related formin 2	-0.364	4.385
217247_at			-0.225	3.549
217249_x_at			-0.174	2.377
217294_s_at	ENO1	enolase 1	-0.575	7.199
217295_at	MUC8	mucin 8	0.666	2.6
217297_s_at	MYO9B	myosin IXB	0.42	2.386
217301_x_at	RBBP4	RB binding protein 4, chromatin remodeling factor	-1.2	8.775
217309_s_at	DSCR3	DSCR3 arrestin fold containing	-0.604	3.823
217310_s_at	FOXJ3	forkhead box J3	-0.387	3.187
217317_s_at	HERC2P9///HERC2P2	hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2	0.327	2.307
217329_x_at			-0.369	3.636
217348_x_at	ARHGEF15	Rho guanine nucleotide exchange factor 15	0.141	2.156
217356_s_at	PGK1	phosphoglycerate kinase 1	-0.434	7.607
217363_x_at			0.157	3.784
217384_x_at	LOC100293211	uncharacterized LOC100293211	0.439	2.149
217391_x_at			0.271	2.376
217398_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	-0.274	4.252
217407_x_at	PPIL2	peptidylprolyl isomerase like 2	-0.204	2.29
217414_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	2.397	10.569
217416_x_at			-0.386	3.162
217418_x_at	MS4A1	membrane spanning 4-domains A1	1.664	3.388
217422_s_at	CD22	CD22 molecule	2.005	6.87
217441_at	USP33	ubiquitin specific peptidase 33	0.434	2.706
217457_s_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	-0.322	4.267
217478_s_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	-0.488	3.482
217496_s_at	IDE	insulin degrading enzyme	-0.293	3.358
217497_at	TYMP	thymidine phosphorylase	0.673	2.91
217503_at	STK17B	serine/threonine kinase 17b	-0.541	4.986
217532_x_at			0.155	2.137
217534_at	FAM49B	family with sequence similarity 49 member B	-1.163	5.187
217538_at	SGSM2	small G protein signaling modulator 2	1.105	4.586
217540_at	NXPE3	neurexophilin and PC-esterase domain family member 3	-0.375	3.857
217542_at	MDM2	MDM2 proto-oncogene	-0.413	3.575
217544_at	MIR3916	microRNA 3916	-0.791	3.246
217547_x_at	ZNF675	zinc finger protein 675	0.335	3.529
217559_at	RPL10L	ribosomal protein L10 like	0.35	3.063
217560_at	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	0.215	2.181
217572_at			1.324	4.978
217580_x_at			0.235	2.346
217591_at	SKIL	SKI-like proto-oncogene	0.866	5.468
217593_at	ZSCAN18	zinc finger and SCAN domain containing 18	0.983	3.063
217602_at	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A	0.855	5.387
217604_at			-0.209	2.139
217611_at	ERICH1	glutamate rich 1	0.251	2.401
217635_s_at	POLG	DNA polymerase gamma, catalytic subunit	-0.373	2.742
217646_at	SURF1	surfeit 1	0.301	3.856
217649_at	ZFAND5	zinc finger AN1-type containing 5	1.087	2.929
217664_at			0.437	3.966
217666_at			-0.345	2.582
217668_at	LRRC75B	leucine rich repeat containing 75B	0.334	3.103
217671_at	DSERG1	Down syndrome encephalopathy related protein 1	-0.702	2.516
217672_x_at	EIF1	eukaryotic translation initiation factor 1	0.196	2.278
217677_at	PLEKHA2	pleckstrin homology domain containing A2	0.65	3.327
217703_x_at			0.199	2.45
217712_at			0.903	2.613
217717_s_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0.829	4.703
217718_s_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	-0.301	6.641
217720_at	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	-0.291	3.156
217727_x_at	VPS35	VPS35 retromer complex component	0.213	2.233
217728_at	S100A6	S100 calcium binding protein A6	-0.474	3.353
217733_s_at	TMSB10	thymosin beta 10	-0.168	2.611
217734_s_at	WDR6	WD repeat domain 6	0.473	2.481
217737_x_at	RTFDC1	replication termination factor 2 domain containing 1	-0.24	4.09
217738_at	NAMPT	nicotinamide phosphoribosyltransferase	0.452	2.92
217739_s_at	NAMPT	nicotinamide phosphoribosyltransferase	0.466	2.552
217741_s_at	ZFAND5	zinc finger AN1-type containing 5	-0.381	3.733
217747_s_at	RPS9	ribosomal protein S9	-0.342	4.003
217749_at	COPG1	coatomer protein complex subunit gamma 1	-1.32	10.021
217750_s_at	UBE2Z	ubiquitin conjugating enzyme E2 Z	-0.318	3.605
217754_at	DDX56	DEAD-box helicase 56	-0.297	2.702
217755_at	HN1	hematological and neurological expressed 1	-0.877	6.379
217756_x_at	MIR1282///HYPK///SERF2	microRNA 1282///huntingtin interacting protein K///small EDRK-rich factor 2	-0.303	3.967
217758_s_at	TM9SF3	transmembrane 9 superfamily member 3	-0.287	4.03
217759_at	TRIM44	tripartite motif containing 44	0.576	7.847
217763_s_at	RAB31	RAB31, member RAS oncogene family	-0.601	2.948
217770_at	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	-0.27	2.948
217772_s_at	MTCH2	mitochondrial carrier 2	-0.407	5.014
217773_s_at	NDUFA4	NDUFA4, mitochondrial complex associated	-0.354	5.885
217774_s_at	TRMT112	tRNA methyltransferase 11-2 homolog (S. cerevisiae)	-0.696	5.832
217777_s_at	HACD3	3-hydroxyacyl-CoA dehydratase 3	-0.521	3.795
217780_at	WDR83OS	WD repeat domain 83 opposite strand	-0.204	3.007
217783_s_at	YPEL5	yippee like 5	0.294	2.928
217785_s_at	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	-1.017	6.503
217786_at	PRMT5	protein arginine methyltransferase 5	-0.256	2.707
217788_s_at	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	-0.513	5.899
217790_s_at	SSR3	signal sequence receptor subunit 3	-0.953	6.067
217791_s_at	ALDH18A1	aldehyde dehydrogenase 18 family member A1	-0.466	2.797
217795_s_at	TMEM43	transmembrane protein 43	0.276	2.586
217800_s_at	NDFIP1	Nedd4 family interacting protein 1	0.357	2.372
217801_at	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	-0.298	2.761
217802_s_at	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1	0.275	2.332
217803_at	GOLPH3	golgi phosphoprotein 3	-0.212	3.527
217808_s_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	-0.252	2.378
217811_at	SELT	selenoprotein T	-0.876	6.732
217813_s_at	SPIN1	spindlin 1	0.57	2.721
217815_at	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit	-0.541	6.976
217817_at	ARPC4	actin related protein 2/3 complex subunit 4	-0.458	2.623
217818_s_at	ARPC4	actin related protein 2/3 complex subunit 4	-1.313	9.387
217827_s_at	SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)	-0.652	6.739
217831_s_at	NSFL1C	NSFL1 cofactor	-0.55	5.988
217834_s_at	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	-0.297	4.079
217835_x_at	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24	-0.256	2.875
217836_s_at	YY1AP1	YY1 associated protein 1	0.208	2.881
217838_s_at	EVL	Enah/Vasp-like	0.548	3.873
217839_at	TFG	TRK-fused gene	0.156	2.143
217842_at	C7orf55-LUC7L2///LUC7L2	C7orf55-LUC7L2 readthrough///LUC7 like 2, pre-mRNA splicing factor	-0.201	2.423
217847_s_at	THRAP3	thyroid hormone receptor associated protein 3	-1.017	5.131
217852_s_at	ARL8B	ADP ribosylation factor like GTPase 8B	-0.352	5.351
217853_at	TNS3	tensin 3	-0.408	2.461
217854_s_at	POLR2E	RNA polymerase II subunit E	-0.281	3.169
217857_s_at	RBM8A	RNA binding motif protein 8A	-0.266	2.498
217858_s_at	ARMCX3	armadillo repeat containing, X-linked 3	0.595	7.344
217859_s_at	SLC39A9	solute carrier family 39 member 9	-0.61	3.732
217861_s_at	PREB	prolactin regulatory element binding	-0.275	2.464
217864_s_at	PIAS1	protein inhibitor of activated STAT 1	0.314	4.492
217865_at	RNF130	ring finger protein 130	-0.351	2.112
217867_x_at	BACE2	beta-site APP-cleaving enzyme 2	0.495	3.902
217871_s_at	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	-0.719	5.35
217872_at	PIH1D1	PIH1 domain containing 1	0.158	2.216
217873_at	CAB39	calcium binding protein 39	-0.275	3.005
217880_at	CDC27	cell division cycle 27	-0.251	2.113
217881_s_at	CDC27	cell division cycle 27	-0.296	3.905
217883_at	MMADHC	methylmalonic aciduria and homocystinuria, cblD type	0.128	2.26
217888_s_at	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	-0.318	3.412
217889_s_at	CYBRD1	cytochrome b reductase 1	-1.041	3.593
217893_s_at	AKIRIN1	akirin 1	0.533	3.235
217894_at	KCTD3	potassium channel tetramerization domain containing 3	-0.389	2.651
217902_s_at	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	-0.25	2.197
217904_s_at	BACE1	beta-secretase 1	-0.506	3.031
217906_at	KLHDC2	kelch domain containing 2	0.397	5.329
217909_s_at	MLX	MLX, MAX dimerization protein	-0.511	6.356
217923_at	PEF1	penta-EF-hand domain containing 1	-0.653	5.876
217925_s_at	C6orf106	chromosome 6 open reading frame 106	-0.314	2.83
217930_s_at	TOLLIP	toll interacting protein	-0.445	3.048
217936_at	ARHGAP5	Rho GTPase activating protein 5	-0.637	4.163
217942_at	MRPS35	mitochondrial ribosomal protein S35	0.16	2.527
217947_at	CMTM6	CKLF like MARVEL transmembrane domain containing 6	0.36	4.099
217948_at	FAM127B	family with sequence similarity 127 member B	-0.281	2.576
217949_s_at	VKORC1	vitamin K epoxide reductase complex subunit 1	-0.56	5.218
217954_s_at	PHF3	PHD finger protein 3	-0.215	3.051
217960_s_at	TOMM22	translocase of outer mitochondrial membrane 22	-1.8	9.019
217962_at	NOP10	NOP10 ribonucleoprotein	-0.477	3.7
217970_s_at	CNOT6	CCR4-NOT transcription complex subunit 6	-0.256	3.495
217971_at	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	-0.21	2.343
217973_at	DCXR	dicarbonyl and L-xylulose reductase	-0.443	3.924
217974_at	TM7SF3	transmembrane 7 superfamily member 3	-0.28	2.125
217979_at	TSPAN13	tetraspanin 13	1.277	5.655
217981_s_at	TIMM10B	translocase of inner mitochondrial membrane 10 homolog B (yeast)	-0.473	2.851
217985_s_at	BAZ1A	bromodomain adjacent to zinc finger domain 1A	0.395	3.017
217986_s_at	BAZ1A	bromodomain adjacent to zinc finger domain 1A	-0.25	3.832
217988_at	CCNB1IP1	cyclin B1 interacting protein 1	0.31	3.943
217990_at	GMPR2	guanosine monophosphate reductase 2	-0.266	3.979
217991_x_at	SSBP3	single stranded DNA binding protein 3	0.465	2.733
218003_s_at	FKBP3	FK506 binding protein 3	0.211	4.514
218004_at	BSDC1	BSD domain containing 1	-0.19	2.29
218007_s_at	RPS27L	ribosomal protein S27 like	-0.333	2.959
218008_at	TMEM248	transmembrane protein 248	-0.362	6.396
218011_at	UBL5	ubiquitin like 5	-0.331	3.862
218012_at	TSPYL2	TSPY like 2	0.469	5.47
218013_x_at	DCTN4	dynactin subunit 4	-0.425	5.161
218017_s_at	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	-0.266	2.572
218019_s_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	-0.767	5.544
218026_at	COA3	cytochrome c oxidase assembly factor 3	-0.39	3.896
218028_at	MIR6734///ELOVL1	microRNA 6734///ELOVL fatty acid elongase 1	-0.464	3.912
218033_s_at	SNN	stannin	-0.607	2.235
218035_s_at	RBM47	RNA binding motif protein 47	-0.909	5.456
218042_at	COPS4	COP9 signalosome subunit 4	0.175	2.766
218046_s_at	MRPS16	mitochondrial ribosomal protein S16	-0.571	7.411
218056_at	BFAR	bifunctional apoptosis regulator	-0.34	4.364
218061_at	MEA1	male-enhanced antigen 1	-0.223	2.177
218067_s_at	ARGLU1	arginine and glutamate rich 1	0.23	3.441
218072_at	COMMD9	COMM domain containing 9	-0.455	4.518
218073_s_at	NDC1	NDC1 transmembrane nucleoporin	-0.354	2.629
218074_at	FAM96B	family with sequence similarity 96 member B	-0.316	3.926
218076_s_at	ARHGAP17	Rho GTPase activating protein 17	-0.423	3.881
218077_s_at	ZDHHC3	zinc finger DHHC-type containing 3	-0.206	2.119
218078_s_at	ZDHHC3	zinc finger DHHC-type containing 3	-0.226	2.91
218080_x_at	FAF1	Fas associated factor 1	-0.222	2.679
218082_s_at	UBP1	upstream binding protein 1 (LBP-1a)	0.183	2.231
218085_at	CHMP5	charged multivesicular body protein 5	0.256	2.135
218086_at	NPDC1	neural proliferation, differentiation and control 1	0.617	2.618
218092_s_at	AGFG1	ArfGAP with FG repeats 1	-0.311	3.285
218093_s_at	ANKRD10	ankyrin repeat domain 10	-0.29	3.534
218095_s_at	TMEM165	transmembrane protein 165	-0.285	3.253
218096_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	0.637	6.2
218100_s_at	IFT57	intraflagellar transport 57	0.517	3.421
218101_s_at	NDUFC2-KCTD14///NDUFC2	NDUFC2-KCTD14 readthrough///NADH:ubiquinone oxidoreductase subunit C2	-0.507	5.122
218106_s_at	MRPS10	mitochondrial ribosomal protein S10	-0.288	3.237
218107_at	WDR26	WD repeat domain 26	0.252	3.366
218111_s_at	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	-0.331	3.38
218112_at	MRPS34	mitochondrial ribosomal protein S34	-0.389	3.836
218113_at	TMEM2	transmembrane protein 2	-0.664	4.84
218118_s_at	TIMM23B///TIMM23	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23	-0.281	2.161
218119_at	TIMM23B///TIMM23	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23	-0.463	3.782
218122_s_at	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2	-0.488	3.512
218126_at	RMDN3	regulator of microtubule dynamics 3	0.266	2.858
218136_s_at	SLC25A37	solute carrier family 25 member 37	0.528	2.902
218141_at	UBE2O	ubiquitin conjugating enzyme E2 O	0.377	3.442
218142_s_at	CRBN	cereblon	0.418	4.524
218149_s_at	ZNF395	zinc finger protein 395	0.648	4.727
218156_s_at	TSR1	TSR1, ribosome maturation factor	-0.456	4.752
218157_x_at	CDC42SE1	CDC42 small effector 1	-0.641	4.617
218166_s_at	RSF1	remodeling and spacing factor 1	0.337	2.275
218171_at	VPS4B	vacuolar protein sorting 4 homolog B	-0.2	3.003
218172_s_at	DERL1	derlin 1	-0.264	2.43
218177_at	CHMP1B	charged multivesicular body protein 1B	-0.655	5.48
218178_s_at	CHMP1B	charged multivesicular body protein 1B	-0.471	4.382
218184_at	TULP4	tubby like protein 4	-0.622	5.354
218188_s_at	TIMM13	translocase of inner mitochondrial membrane 13	-0.554	7.415
218189_s_at	NANS	N-acetylneuraminate synthase	-0.402	6.151
218190_s_at	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	-0.762	7.512
218192_at	IP6K2	inositol hexakisphosphate kinase 2	-0.241	3.111
218193_s_at	GOLT1B	golgi transport 1B	-0.246	3.053
218197_s_at	OXR1	oxidation resistance 1	0.634	4.23
218200_s_at	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	-0.389	7.851
218201_at	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	-0.44	5.822
218206_x_at	SCAND1	SCAN domain containing 1	-0.541	6.836
218211_s_at	MLPH	melanophilin	0.184	2.744
218213_s_at	TMEM258	transmembrane protein 258	-0.267	2.351
218220_at	C12orf10	chromosome 12 open reading frame 10	-0.301	4.638
218222_x_at	ARNT	aryl hydrocarbon receptor nuclear translocator	-0.321	2.304
218226_s_at	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	-0.244	3.73
218229_s_at	POGK	pogo transposable element with KRAB domain	-0.337	3.694
218234_at	ING4	inhibitor of growth family member 4	0.214	2.379
218235_s_at	UTP11	UTP11, small subunit processome component homolog (S. cerevisiae)	-0.294	3.934
218237_s_at	SLC38A1	solute carrier family 38 member 1	0.538	2.189
218257_s_at	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	-0.432	4.151
218263_s_at	ZBED5	zinc finger BED-type containing 5	0.269	2.697
218268_at	TBC1D15	TBC1 domain family member 15	0.244	2.561
218270_at	MRPL24	mitochondrial ribosomal protein L24	0.162	2.424
218272_at	TTC38	tetratricopeptide repeat domain 38	-0.723	2.245
218277_s_at	DHX40	DEAH-box helicase 40	0.229	3.268
218282_at	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2	-0.229	2.151
218287_s_at	AGO1	argonaute 1, RISC catalytic component	-0.239	2.506
218288_s_at	CCDC90B	coiled-coil domain containing 90B	0.167	2.25
218290_at	MIR6789///PLEKHJ1	microRNA 6789///pleckstrin homology domain containing J1	-0.256	2.972
218291_at	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	-0.523	4.592
218292_s_at	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	-0.951	5.98
218294_s_at	NUP50	nucleoporin 50	-0.789	4.492
218295_s_at	NUP50	nucleoporin 50	-0.539	5.348
218297_at	FAM188A	family with sequence similarity 188 member A	0.243	2.25
218300_at	PAGR1	PAXIP1 associated glutamate rich protein 1	-0.243	2.785
218302_at	PSENEN	presenilin enhancer gamma-secretase subunit	-0.832	6.26
218304_s_at	OSBPL11	oxysterol binding protein like 11	-0.32	3.318
218310_at	KCTD7///RABGEF1	potassium channel tetramerization domain containing 7///RAB guanine nucleotide exchange factor 1	-0.284	2.191
218313_s_at	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	-0.37	4.503
218314_s_at	C11orf57	chromosome 11 open reading frame 57	-0.395	4.139
218318_s_at	NLK	nemo like kinase	0.677	3.536
218328_at	COQ4	coenzyme Q4	-0.242	3.324
218338_at	PHC1	polyhomeotic homolog 1	0.385	3.784
218340_s_at	UBA6	ubiquitin like modifier activating enzyme 6	-1.964	4.476
218342_s_at	ERMP1	endoplasmic reticulum metallopeptidase 1	-0.537	2.502
218350_s_at	GMNN	geminin, DNA replication inhibitor	-0.302	2.354
218354_at	TRAPPC2L	trafficking protein particle complex 2 like	-0.274	2.743
218357_s_at	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B	-0.304	3.475
218362_s_at	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	-0.517	4.401
218367_x_at	USP21	ubiquitin specific peptidase 21	-0.466	4.379
218372_at	MED9	mediator complex subunit 9	-0.355	3.496
218379_at	RBM7	RNA binding motif protein 7	-0.59	5.675
218380_at	LOC728392	uncharacterized LOC728392	0.325	3.047
218383_at	MIR4707///HAUS4	microRNA 4707///HAUS augmin like complex subunit 4	-0.504	5.275
218384_at	CARHSP1	calcium regulated heat stable protein 1	-0.298	3.882
218387_s_at	PGLS	6-phosphogluconolactonase	-0.327	3.115
218388_at	PGLS	6-phosphogluconolactonase	-0.549	5.613
218391_at	SNF8	SNF8, ESCRT-II complex subunit	-0.686	8.157
218393_s_at	SMU1	DNA replication regulator and spliceosomal factor	-0.64	6.699
218396_at	VPS13C	vacuolar protein sorting 13 homolog C	-0.28	3.533
218398_at	MRPS30	mitochondrial ribosomal protein S30	0.232	3.53
218402_s_at	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2	-0.412	4.515
218405_at	ABT1	activator of basal transcription 1	-0.252	3.509
218412_s_at	GTF2IRD1	GTF2I repeat domain containing 1	0.341	2.419
218421_at	CERK	ceramide kinase	-0.377	3.37
218423_x_at	VPS54	VPS54, GARP complex subunit	-0.166	2.304
218424_s_at	STEAP3	STEAP3 metalloreductase	-0.586	2.553
218426_s_at	RNF216	ring finger protein 216	0.47	4.288
218435_at	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	-0.63	3.933
218438_s_at	MED28	mediator complex subunit 28	-0.547	6.531
218439_s_at	COMMD10	COMM domain containing 10	-0.403	4.228
218448_at	GID8	GID complex subunit 8 homolog	-0.416	5.502
218455_at	NFS1	NFS1 cysteine desulfurase	-0.169	2.52
218456_at	CAPRIN2	caprin family member 2	0.427	3.853
218463_s_at	MUS81	MUS81 structure-specific endonuclease subunit	-0.191	2.454
218464_s_at	FAM222B	family with sequence similarity 222 member B	0.262	2.747
218465_at	TMEM33	transmembrane protein 33	-0.432	3.724
218472_s_at	PELO	pelota homolog (Drosophila)	-0.39	2.685
218474_s_at	KCTD5	potassium channel tetramerization domain containing 5	-0.582	5.928
218482_at	ENY2	ENY2, transcription and export complex 2 subunit	-0.236	2.729
218487_at	ALAD	aminolevulinate dehydratase	0.151	2.295
218490_s_at	ZNF302	zinc finger protein 302	0.283	2.517
218495_at	UXT	ubiquitously expressed prefoldin like chaperone	-0.413	3.57
218496_at	RNASEH1	ribonuclease H1	0.266	2.5
218502_s_at	TRPS1	transcriptional repressor GATA binding 1	-0.456	2.935
218503_at	FOCAD	focadhesin	-0.325	3.013
218506_x_at	GLYR1	glyoxylate reductase 1 homolog	0.278	2.714
218508_at	DCP1A	decapping mRNA 1A	0.221	2.789
218514_at	SMG8	SMG8, nonsense mediated mRNA decay factor	-0.748	7.639
218516_s_at	IMPAD1	inositol monophosphatase domain containing 1	-0.39	2.992
218525_s_at	HIF1AN	hypoxia inducible factor 1 alpha subunit inhibitor	-0.297	3.438
218527_at	APTX	aprataxin	-0.223	2.711
218528_s_at	RNF38	ring finger protein 38	-0.235	3.337
218533_s_at	UCKL1	uridine-cytidine kinase 1 like 1	0.237	2.096
218534_s_at	AGGF1	angiogenic factor with G-patch and FHA domains 1	-0.213	2.733
218536_at	MRS2	MRS2, magnesium transporter	-0.212	2.529
218537_at	HCFC1R1	host cell factor C1 regulator 1	-0.258	2.851
218539_at	FBXO34	F-box protein 34	-0.208	2.791
218548_x_at	TEX264	testis expressed 264	-0.201	2.231
218549_s_at	RMDN1	regulator of microtubule dynamics 1	-0.272	3.767
218553_s_at	KCTD15	potassium channel tetramerization domain containing 15	-0.34	2.241
218554_s_at	ASH1L	ASH1 like histone lysine methyltransferase	-0.474	4.07
218556_at	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2	-0.27	2.489
218559_s_at	MAFB	MAF bZIP transcription factor B	-0.655	4.227
218563_at	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	-0.42	4.042
218564_at	RFWD3	ring finger and WD repeat domain 3	-0.446	2.62
218565_at	SPOUT1	SPOUT domain containing methyltransferase 1	0.35	4.039
218572_at	CHMP4A///TM9SF1	charged multivesicular body protein 4A///transmembrane 9 superfamily member 1	-0.226	2.874
218573_at	MAGEH1	MAGE family member H1	0.278	2.533
218575_at	LOC730268///ANAPC1	anaphase-promoting complex subunit 1-like///anaphase promoting complex subunit 1	0.221	2.389
218578_at	CDC73	cell division cycle 73	-0.158	2.46
218579_s_at	DHX35	DEAH-box helicase 35	-0.314	2.376
218580_x_at	AURKAIP1	aurora kinase A interacting protein 1	-0.206	2.907
218582_at	MARCH5	membrane associated ring-CH-type finger 5	-0.259	3.355
218583_s_at	DCUN1D1	defective in cullin neddylation 1 domain containing 1	-0.314	4.1
218584_at	TCTN1	tectonic family member 1	0.307	3.527
218587_s_at	POGLUT1	protein O-glucosyltransferase 1	0.242	2.328
218592_s_at	CECR5	cat eye syndrome chromosome region, candidate 5	-0.373	4.553
